SUBMIT$7320461393185366016$NJ4GNBSAX0000693$REALTIME$TIME:20250509092725,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.00,4033:0,2204:3.7,2603:28.7015220,2602:113.0613520,3012:220,3013:83,3014:20250509092721,3015:19,3016:12,4014:0,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7320461481051832320$NJ4GNBSAX0000693$REALTIME$TIME:20250509092746,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.12,4033:0,4040:0,4041:0,4043:0,4044:1,2204:5.7,2603:28.7013440,2602:113.0611940,3012:219,3013:83,3014:20250509092740,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461481056026624$NJ4GNBSAX0000693$REALTIME$TIME:20250509092746,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.12,4033:0,4040:0,4041:0,4043:0,4044:1,2204:6,2603:28.7013320,2602:113.0611850,3012:215,3013:83,3014:20250509092741,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461525058469888$NJ4GNBSAX0000693$REALTIME$TIME:20250509092756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.21,4033:0,4040:0,4041:0,4043:0,4044:1,2204:4.5,2603:28.7013110,2602:113.0611680,3012:215,3013:83,3014:20250509092743,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461525062664192$NJ4GNBSAX0000693$REALTIME$TIME:20250509092756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.21,4033:0,4040:0,4041:0,4043:0,4044:1,2204:4,2603:28.7013030,2602:113.0611600,3012:218,3013:83,3014:20250509092744,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461525071052800$NJ4GNBSAX0000693$REALTIME$TIME:20250509092756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.21,4033:0,4040:0,4041:0,4043:0,4044:1,2204:6.2,2603:28.7012920,2602:113.0611480,3012:221,3013:83,3014:20250509092745,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461525079441408$NJ4GNBSAX0000693$REALTIME$TIME:20250509092756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.21,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.2,2603:28.7012640,2602:113.0611130,3012:228,3013:83,3014:20250509092747,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461525083635712$NJ4GNBSAX0000693$REALTIME$TIME:20250509092756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.21,4033:0,4040:0,4041:0,4043:0,4044:1,2204:7.8,2603:28.7012510,2602:113.0610960,3012:229,3013:83,3014:20250509092748,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461525087830016$NJ4GNBSAX0000693$REALTIME$TIME:20250509092756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.21,4033:0,4040:0,4041:0,4043:0,4044:1,2204:7.5,2603:28.7012270,2602:113.0610620,3012:232,3013:84,3014:20250509092750,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461525092024320$NJ4GNBSAX0000693$REALTIME$TIME:20250509092756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.21,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.2,2603:28.7012160,2602:113.0610420,3012:237,3013:84,3014:20250509092751,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461525096218624$NJ4GNBSAX0000693$REALTIME$TIME:20250509092756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.21,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.4,2603:28.7012040,2602:113.0610220,3012:235,3013:84,3014:20250509092752,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461569316773888$NJ4GNBSAX0000693$REALTIME$TIME:20250509092807,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.30,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.2,2603:28.7011930,2602:113.0610030,3012:235,3013:84,3014:20250509092753,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461569320968192$NJ4GNBSAX0000693$REALTIME$TIME:20250509092807,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.30,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.3,2603:28.7011810,2602:113.0609830,3012:236,3013:84,3014:20250509092754,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461569329356800$NJ4GNBSAX0000693$REALTIME$TIME:20250509092807,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.30,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.3,2603:28.7011700,2602:113.0609630,3012:237,3013:84,3014:20250509092755,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461569333551104$NJ4GNBSAX0000693$REALTIME$TIME:20250509092807,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.30,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.4,2603:28.7011590,2602:113.0609430,3012:237,3013:84,3014:20250509092756,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461569337745408$NJ4GNBSAX0000693$REALTIME$TIME:20250509092807,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.30,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8,2603:28.7011380,2602:113.0609030,3012:239,3013:85,3014:20250509092758,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461569341939712$NJ4GNBSAX0000693$REALTIME$TIME:20250509092807,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.30,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.1,2603:28.7011290,2602:113.0608820,3012:243,3013:85,3014:20250509092759,3015:19,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461569350328320$NJ4GNBSAX0000693$REALTIME$TIME:20250509092807,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.30,4033:0,4040:0,4041:0,4043:0,4044:1,2204:7.9,2603:28.7011220,2602:113.0608620,3012:246,3013:85,3014:20250509092800,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461613335998464$NJ4GNBSAX0000693$REALTIME$TIME:20250509092817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.42,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.2,2603:28.7011050,2602:113.0608190,3012:246,3013:86,3014:20250509092802,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461613340192768$NJ4GNBSAX0000693$REALTIME$TIME:20250509092817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.42,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.1,2603:28.7010910,2602:113.0607750,3012:250,3013:86,3014:20250509092804,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461613344387072$NJ4GNBSAX0000693$REALTIME$TIME:20250509092817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.42,4033:0,4040:0,4041:0,4043:0,4044:1,2204:7.8,2603:28.7010870,2602:113.0607540,3012:255,3013:86,3014:20250509092805,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461613348581376$NJ4GNBSAX0000693$REALTIME$TIME:20250509092817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.42,4033:0,4040:0,4041:0,4043:0,4044:1,2204:7.8,2603:28.7010830,2602:113.0607320,3012:258,3013:86,3014:20250509092806,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461613352775680$NJ4GNBSAX0000693$REALTIME$TIME:20250509092817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.42,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.4,2603:28.7010770,2602:113.0607090,3012:255,3013:87,3014:20250509092807,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461613356969984$NJ4GNBSAX0000693$REALTIME$TIME:20250509092817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.42,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8,2603:28.7010720,2602:113.0606870,3012:254,3013:87,3014:20250509092808,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461613361164288$NJ4GNBSAX0000693$REALTIME$TIME:20250509092817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.42,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.4,2603:28.7010660,2602:113.0606630,3012:254,3013:87,3014:20250509092809,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461613365358592$NJ4GNBSAX0000693$REALTIME$TIME:20250509092817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.42,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.2,2603:28.7010620,2602:113.0606400,3012:257,3013:87,3014:20250509092810,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461613369552896$NJ4GNBSAX0000693$REALTIME$TIME:20250509092817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.42,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8,2603:28.7010590,2602:113.0606180,3012:261,3013:87,3014:20250509092811,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461613373747200$NJ4GNBSAX0000693$REALTIME$TIME:20250509092817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.42,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.1,2603:28.7010570,2602:113.0605950,3012:262,3013:88,3014:20250509092812,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461702267817984$NJ4GNBSAX0000693$REALTIME$TIME:20250509092839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.52,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.3,2603:28.7010550,2602:113.0605710,3012:264,3013:88,3014:20250509092813,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461702272012288$NJ4GNBSAX0000693$REALTIME$TIME:20250509092839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.52,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.3,2603:28.7010530,2602:113.0605470,3012:266,3013:88,3014:20250509092814,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461702280400896$NJ4GNBSAX0000693$REALTIME$TIME:20250509092839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.52,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.2,2603:28.7010530,2602:113.0605240,3012:268,3013:88,3014:20250509092815,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461702284595200$NJ4GNBSAX0000693$REALTIME$TIME:20250509092839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.52,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.2,2603:28.7010510,2602:113.0605000,3012:265,3013:88,3014:20250509092816,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461702288789504$NJ4GNBSAX0000693$REALTIME$TIME:20250509092839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.52,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.5,2603:28.7010450,2602:113.0604510,3012:263,3013:89,3014:20250509092818,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461702292983808$NJ4GNBSAX0000693$REALTIME$TIME:20250509092839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.52,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.7,2603:28.7010420,2602:113.0604270,3012:262,3013:89,3014:20250509092819,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461702297178112$NJ4GNBSAX0000693$REALTIME$TIME:20250509092839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.52,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.8,2603:28.7010370,2602:113.0604030,3012:256,3013:89,3014:20250509092820,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461702301372416$NJ4GNBSAX0000693$REALTIME$TIME:20250509092839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.52,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.5,2603:28.7010300,2602:113.0603800,3012:251,3013:89,3014:20250509092821,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461702305566720$NJ4GNBSAX0000693$REALTIME$TIME:20250509092839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.52,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.6,2603:28.7010220,2602:113.0603570,3012:249,3013:89,3014:20250509092822,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461679681511424$NJ4GNBSAX0000693$REALTIME$TIME:20250509092833,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.64,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.8,2603:28.7010140,2602:113.0603330,3012:250,3013:89,3014:20250509092823,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461657665597440$NJ4GNBSAX0000693$REALTIME$TIME:20250509092828,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.54,4033:1,2204:8.9,2603:28.7010060,2602:113.0603090,3012:248,3013:89,3014:20250509092824,3015:20,3016:10,4014:0,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7320461679689900032$NJ4GNBSAX0000693$REALTIME$TIME:20250509092833,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.64,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.9,2603:28.7009970,2602:113.0602860,3012:246,3013:89,3014:20250509092825,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461679694094336$NJ4GNBSAX0000693$REALTIME$TIME:20250509092833,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.64,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.9,2603:28.7009770,2602:113.0602400,3012:244,3013:89,3014:20250509092827,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461679698288640$NJ4GNBSAX0000693$REALTIME$TIME:20250509092833,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.64,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.8,2603:28.7009680,2602:113.0602170,3012:245,3013:88,3014:20250509092828,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461679702482944$NJ4GNBSAX0000693$REALTIME$TIME:20250509092833,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.64,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.9,2603:28.7009580,2602:113.0601940,3012:245,3013:88,3014:20250509092829,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461679706677248$NJ4GNBSAX0000693$REALTIME$TIME:20250509092833,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.64,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.9,2603:28.7009500,2602:113.0601700,3012:248,3013:88,3014:20250509092830,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461679710871552$NJ4GNBSAX0000693$REALTIME$TIME:20250509092833,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.64,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.9,2603:28.7009420,2602:113.0601460,3012:249,3013:88,3014:20250509092831,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461679715065856$NJ4GNBSAX0000693$REALTIME$TIME:20250509092833,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.64,4033:1,4040:0,4041:0,4043:0,4044:1,2204:9,2603:28.7009350,2602:113.0601210,3012:251,3013:88,3014:20250509092832,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461724401176576$NJ4GNBSAX0000693$REALTIME$TIME:20250509092844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.75,4033:1,4040:0,4041:0,4043:0,4044:1,2204:9,2603:28.7009280,2602:113.0600960,3012:252,3013:88,3014:20250509092833,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461724405370880$NJ4GNBSAX0000693$REALTIME$TIME:20250509092844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.75,4033:1,4040:0,4041:0,4043:0,4044:1,2204:9,2603:28.7009220,2602:113.0600710,3012:253,3013:87,3014:20250509092834,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7320461724413759488$NJ4GNBSAX0000693$REALTIME$TIME:20250509092844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.75,4033:1,4040:0,4041:0,4043:0,4044:1,2204:9.2,2603:28.7009160,2602:113.0600460,3012:254,3013:87,3014:20250509092835,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461724417953792$NJ4GNBSAX0000693$REALTIME$TIME:20250509092844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.75,4033:1,4040:0,4041:0,4043:0,4044:1,2204:9.2,2603:28.7009030,2602:113.0599960,3012:255,3013:87,3014:20250509092837,3015:19,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461724422148096$NJ4GNBSAX0000693$REALTIME$TIME:20250509092844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.75,4033:1,4040:0,4041:0,4043:0,4044:1,2204:9,2603:28.7008980,2602:113.0599700,3012:255,3013:86,3014:20250509092838,3015:19,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461724426342400$NJ4GNBSAX0000693$REALTIME$TIME:20250509092844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.75,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.9,2603:28.7008920,2602:113.0599460,3012:255,3013:86,3014:20250509092839,3015:19,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461724430536704$NJ4GNBSAX0000693$REALTIME$TIME:20250509092844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.75,4033:1,4040:0,4041:0,4043:0,4044:1,2204:9.2,2603:28.7008860,2602:113.0599200,3012:254,3013:86,3014:20250509092840,3015:19,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461724434731008$NJ4GNBSAX0000693$REALTIME$TIME:20250509092844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.75,4033:1,4040:0,4041:0,4043:0,4044:1,2204:9,2603:28.7008780,2602:113.0598960,3012:251,3013:86,3014:20250509092841,3015:19,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461724438925312$NJ4GNBSAX0000693$REALTIME$TIME:20250509092844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.75,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.9,2603:28.7008700,2602:113.0598720,3012:249,3013:86,3014:20250509092842,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461768508452864$NJ4GNBSAX0000693$REALTIME$TIME:20250509092854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.86,4033:1,4040:0,4041:0,4043:0,4044:1,2204:9.2,2603:28.7008620,2602:113.0598470,3012:248,3013:86,3014:20250509092843,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461768512647168$NJ4GNBSAX0000693$REALTIME$TIME:20250509092854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.86,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.8,2603:28.7008540,2602:113.0598240,3012:248,3013:86,3014:20250509092844,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461768521035776$NJ4GNBSAX0000693$REALTIME$TIME:20250509092854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.86,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.9,2603:28.7008450,2602:113.0598000,3012:248,3013:86,3014:20250509092845,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461768529424384$NJ4GNBSAX0000693$REALTIME$TIME:20250509092854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.86,4033:1,4040:0,4041:0,4043:0,4044:1,2204:9.2,2603:28.7008270,2602:113.0597520,3012:246,3013:85,3014:20250509092847,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461768533618688$NJ4GNBSAX0000693$REALTIME$TIME:20250509092854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.86,4033:1,4040:0,4041:0,4043:0,4044:1,2204:9,2603:28.7008090,2602:113.0597050,3012:246,3013:85,3014:20250509092849,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461768537812992$NJ4GNBSAX0000693$REALTIME$TIME:20250509092854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.86,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.9,2603:28.7008000,2602:113.0596810,3012:246,3013:85,3014:20250509092850,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461768546201600$NJ4GNBSAX0000693$REALTIME$TIME:20250509092854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.86,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.7,2603:28.7007920,2602:113.0596580,3012:247,3013:85,3014:20250509092851,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461812712243200$NJ4GNBSAX0000693$REALTIME$TIME:20250509092905,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.97,4033:1,4040:0,4041:0,4043:0,4044:1,2204:9.1,2603:28.7007820,2602:113.0596340,3012:245,3013:85,3014:20250509092852,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461812716437504$NJ4GNBSAX0000693$REALTIME$TIME:20250509092905,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.97,4033:1,4040:0,4041:0,4043:0,4044:1,2204:9.1,2603:28.7007730,2602:113.0596110,3012:245,3013:85,3014:20250509092853,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461812720631808$NJ4GNBSAX0000693$REALTIME$TIME:20250509092905,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.97,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.9,2603:28.7007640,2602:113.0595870,3012:246,3013:85,3014:20250509092854,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320461812724826112$NJ4GNBSAX0000693$REALTIME$TIME:20250509092905,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.97,4033:1,4040:0,4041:0,4043:0,4044:1,2204:9.2,2603:28.7007530,2602:113.0595640,3012:244,3013:85,3014:20250509092855,3015:20,3016:11,4014:0,2601:0,3019:0
