SUBMIT$7353043851214733312$EC73BD2504030074$REALTIME$TIME:20250807071828,gw:farm,3004:55,4042:1,4030:1,4031:0,4032:0.00,4033:0,2603:0.00000000,2602:0.00000000,2204:0,3012:0,3013:0,3014:20250807071828,3015:0,3016:56,4014:99,4430:0,2601:1,3019:0,4403:1,4404:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7353043973176700928$EC73BD2504030074$REALTIME$TIME:20250807071857,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720688,2602:118.95732065,3012:274,3013:90,3014:20250807071856,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043973180895232$EC73BD2504030074$REALTIME$TIME:20250807071857,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720691,2602:118.95732068,3012:114,3013:90,3014:20250807071857,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044015228801024$EC73BD2504030074$REALTIME$TIME:20250807071907,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720693,2602:118.95732070,3012:122,3013:90,3014:20250807071858,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044015232995328$EC73BD2504030074$REALTIME$TIME:20250807071907,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720693,2602:118.95732068,3012:155,3013:90,3014:20250807071859,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044015237189632$EC73BD2504030074$REALTIME$TIME:20250807071907,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720698,2602:118.95732066,3012:38,3013:90,3014:20250807071900,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044015241383936$EC73BD2504030074$REALTIME$TIME:20250807071907,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720693,2602:118.95732076,3012:115,3013:90,3014:20250807071901,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044015245578240$EC73BD2504030074$REALTIME$TIME:20250807071907,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720690,2602:118.95732068,3012:184,3013:90,3014:20250807071902,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044015249772544$EC73BD2504030074$REALTIME$TIME:20250807071907,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720688,2602:118.95732071,3012:183,3013:90,3014:20250807071903,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044015253966848$EC73BD2504030074$REALTIME$TIME:20250807071907,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720696,2602:118.95732070,3012:350,3013:90,3014:20250807071904,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044015258161152$EC73BD2504030074$REALTIME$TIME:20250807071907,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720691,2602:118.95732068,3012:343,3013:90,3014:20250807071905,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044015262355456$EC73BD2504030074$REALTIME$TIME:20250807071907,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0.1,2603:29.10720693,2602:118.95732070,3012:101,3013:90,3014:20250807071906,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044015266549760$EC73BD2504030074$REALTIME$TIME:20250807071907,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720695,2602:118.95732073,3012:22,3013:90,3014:20250807071907,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044057528352768$EC73BD2504030074$REALTIME$TIME:20250807071917,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720695,2602:118.95732073,3012:85,3013:90,3014:20250807071908,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044057532547072$EC73BD2504030074$REALTIME$TIME:20250807071917,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720691,2602:118.95732070,3012:191,3013:90,3014:20250807071909,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044057536741376$EC73BD2504030074$REALTIME$TIME:20250807071917,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0.1,2603:29.10720693,2602:118.95732078,3012:261,3013:90,3014:20250807071910,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044057540935680$EC73BD2504030074$REALTIME$TIME:20250807071917,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720701,2602:118.95732078,3012:181,3013:90,3014:20250807071911,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044057545129984$EC73BD2504030074$REALTIME$TIME:20250807071917,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720693,2602:118.95732075,3012:195,3013:90,3014:20250807071912,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044057549324288$EC73BD2504030074$REALTIME$TIME:20250807071917,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0.1,2603:29.10720733,2602:118.95732188,3012:48,3013:90,3014:20250807071913,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044057553518592$EC73BD2504030074$REALTIME$TIME:20250807071917,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:1.2,2603:29.10720861,2602:118.95732556,3012:59,3013:90,3014:20250807071914,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044057557712896$EC73BD2504030074$REALTIME$TIME:20250807071917,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2.2,2603:29.10721066,2602:118.95733266,3012:72,3013:90,3014:20250807071915,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044057561907200$EC73BD2504030074$REALTIME$TIME:20250807071917,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2.4,2603:29.10721376,2602:118.95733860,3012:58,3013:90,3014:20250807071916,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044057566101504$EC73BD2504030074$REALTIME$TIME:20250807071917,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2.4,2603:29.10721703,2602:118.95734455,3012:58,3013:90,3014:20250807071917,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044099555282944$EC73BD2504030074$REALTIME$TIME:20250807071927,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2.4,2603:29.10721966,2602:118.95735085,3012:62,3013:90,3014:20250807071918,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044099559477248$EC73BD2504030074$REALTIME$TIME:20250807071927,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2.6,2603:29.10722265,2602:118.95735711,3012:61,3013:90,3014:20250807071919,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044099563671552$EC73BD2504030074$REALTIME$TIME:20250807071927,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2.6,2603:29.10722558,2602:118.95736341,3012:60,3013:90,3014:20250807071920,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044099567865856$EC73BD2504030074$REALTIME$TIME:20250807071927,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2.3,2603:29.10722776,2602:118.95736973,3012:65,3013:90,3014:20250807071921,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044099572060160$EC73BD2504030074$REALTIME$TIME:20250807071927,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2.2,2603:29.10722995,2602:118.95737605,3012:70,3013:90,3014:20250807071922,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044099576254464$EC73BD2504030074$REALTIME$TIME:20250807071927,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2.4,2603:29.10723165,2602:118.95738281,3012:70,3013:90,3014:20250807071923,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044099580448768$EC73BD2504030074$REALTIME$TIME:20250807071927,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2.4,2603:29.10723416,2602:118.95738920,3012:67,3013:90,3014:20250807071924,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044099584643072$EC73BD2504030074$REALTIME$TIME:20250807071927,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2.4,2603:29.10723698,2602:118.95739550,3012:64,3013:90,3014:20250807071925,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044099588837376$EC73BD2504030074$REALTIME$TIME:20250807071927,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2.3,2603:29.10723970,2602:118.95740171,3012:63,3013:90,3014:20250807071926,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044099593031680$EC73BD2504030074$REALTIME$TIME:20250807071927,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2.2,2603:29.10724201,2602:118.95740793,3012:65,3013:90,3014:20250807071927,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044141754195968$EC73BD2504030074$REALTIME$TIME:20250807071937,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.05,4033:0,4040:0,4041:0,4043:0,4044:1,2204:1.4,2603:29.10724291,2602:118.95741156,3012:66,3013:90,3014:20250807071928,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044141758390272$EC73BD2504030074$REALTIME$TIME:20250807071937,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.05,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0.6,2603:29.10724355,2602:118.95741356,3012:69,3013:90,3014:20250807071929,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044141762584576$EC73BD2504030074$REALTIME$TIME:20250807071937,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.05,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0.7,2603:29.10724400,2602:118.95741560,3012:63,3013:90,3014:20250807071930,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044141766778880$EC73BD2504030074$REALTIME$TIME:20250807071937,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.05,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0.9,2603:29.10724486,2602:118.95741833,3012:69,3013:90,3014:20250807071931,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044141770973184$EC73BD2504030074$REALTIME$TIME:20250807071937,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.05,4033:0,4040:0,4041:0,4043:0,4044:1,2204:1.3,2603:29.10724621,2602:118.95742191,3012:68,3013:90,3014:20250807071932,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044141775167488$EC73BD2504030074$REALTIME$TIME:20250807071937,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.05,4033:0,4040:0,4041:0,4043:0,4044:1,2204:1.5,2603:29.10724848,2602:118.95742581,3012:59,3013:90,3014:20250807071933,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044141779361792$EC73BD2504030074$REALTIME$TIME:20250807071937,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.05,4033:0,4040:0,4041:0,4043:0,4044:1,2204:1.6,2603:29.10725120,2602:118.95742960,3012:54,3013:90,3014:20250807071934,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044141783556096$EC73BD2504030074$REALTIME$TIME:20250807071937,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.05,4033:0,4040:0,4041:0,4043:0,4044:1,2204:1.4,2603:29.10725371,2602:118.95743211,3012:47,3013:90,3014:20250807071935,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044141787750400$EC73BD2504030074$REALTIME$TIME:20250807071937,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.05,4033:0,4040:0,4041:0,4043:0,4044:1,2204:1.7,2603:29.10725601,2602:118.95743661,3012:59,3013:90,3014:20250807071936,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044141791944704$EC73BD2504030074$REALTIME$TIME:20250807071937,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.05,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2,2603:29.10725695,2602:118.95744286,3012:76,3013:90,3014:20250807071937,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044183965646848$EC73BD2504030074$REALTIME$TIME:20250807071948,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.09,4033:1,4040:0,4041:0,4043:0,4044:1,2204:2.2,2603:29.10725811,2602:118.95744915,3012:79,3013:90,3014:20250807071938,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044183969841152$EC73BD2504030074$REALTIME$TIME:20250807071948,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.09,4033:1,4040:0,4041:0,4043:0,4044:1,2204:2.2,2603:29.10725855,2602:118.95745545,3012:85,3013:90,3014:20250807071939,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044183974035456$EC73BD2504030074$REALTIME$TIME:20250807071948,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.09,4033:1,4040:0,4041:0,4043:0,4044:1,2204:2.1,2603:29.10725680,2602:118.95746120,3012:106,3013:90,3014:20250807071940,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044183978229760$EC73BD2504030074$REALTIME$TIME:20250807071948,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.09,4033:1,4040:0,4041:0,4043:0,4044:1,2204:1,2603:29.10725728,2602:118.95746105,3012:345,3013:90,3014:20250807071941,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044183982424064$EC73BD2504030074$REALTIME$TIME:20250807071948,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.09,4033:1,4040:0,4041:0,4043:0,4044:1,2204:2.7,2603:29.10726478,2602:118.95745918,3012:349,3013:90,3014:20250807071942,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044183986618368$EC73BD2504030074$REALTIME$TIME:20250807071948,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.09,4033:1,4040:0,4041:0,4043:0,4044:1,2204:4,2603:29.10727566,2602:118.95745756,3012:351,3013:90,3014:20250807071943,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044183990812672$EC73BD2504030074$REALTIME$TIME:20250807071948,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.09,4033:1,4040:0,4041:0,4043:0,4044:1,2204:4.7,2603:29.10728751,2602:118.95745500,3012:348,3013:90,3014:20250807071944,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044183995006976$EC73BD2504030074$REALTIME$TIME:20250807071948,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.09,4033:1,4040:0,4041:0,4043:0,4044:1,2204:5.4,2603:29.10729993,2602:118.95744928,3012:329,3013:90,3014:20250807071945,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044183999201280$EC73BD2504030074$REALTIME$TIME:20250807071948,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.09,4033:1,4040:0,4041:0,4043:0,4044:1,2204:8.6,2603:29.10731683,2602:118.95743879,3012:329,3013:90,3014:20250807071946,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044184003395584$EC73BD2504030074$REALTIME$TIME:20250807071948,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.09,4033:1,4040:0,4041:0,4043:0,4044:1,2204:7.6,2603:29.10733330,2602:118.95742578,3012:323,3013:90,3014:20250807071947,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044225971609600$EC73BD2504030074$REALTIME$TIME:20250807071958,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.17,4033:1,4040:0,4041:0,4043:0,4044:1,2204:7.3,2603:29.10734913,2602:118.95741271,3012:325,3013:90,3014:20250807071948,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044225975803904$EC73BD2504030074$REALTIME$TIME:20250807071958,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.17,4033:1,4040:0,4041:0,4043:0,4044:1,2204:7.8,2603:29.10736561,2602:118.95740051,3012:338,3013:90,3014:20250807071949,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044225979998208$EC73BD2504030074$REALTIME$TIME:20250807071958,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.17,4033:1,4040:0,4041:0,4043:0,4044:1,2204:7.5,2603:29.10738206,2602:118.95738876,3012:325,3013:90,3014:20250807071950,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353044225984192512$EC73BD2504030074$REALTIME$TIME:20250807071958,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.17,4033:1,4040:0,4041:0,4043:0,4044:1,2204:7.4,2603:29.10739836,2602:118.95737730,3012:326,3013:90,3014:20250807071951,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
