SUBMIT$7318350011618983936$NJ4GBQSAX0000687$REALTIME$TIME:20250503133732,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.00,4033:0,2204:10.9,2603:28.8453790,2602:113.2050090,3012:236,3013:56,3014:20250503133731,3015:12,3016:12,4014:1,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7318350096708808704$NJ4GBQSAX0000687$REALTIME$TIME:20250503133753,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.69,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8451650,2602:113.2047500,3012:226,3013:43,3014:20250503133743,3015:14,3016:11,4014:1,2601:0,3019:0
SUBMIT$7318350096713003008$NJ4GBQSAX0000687$REALTIME$TIME:20250503133753,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.69,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.8,2603:28.8451450,2602:113.2047270,3012:226,3013:43,3014:20250503133744,3015:14,3016:10,4014:1,2601:0,3019:0
SUBMIT$7318350096717197312$NJ4GBQSAX0000687$REALTIME$TIME:20250503133753,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.69,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8451250,2602:113.2047030,3012:228,3013:42,3014:20250503133745,3015:15,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350096721391616$NJ4GBQSAX0000687$REALTIME$TIME:20250503133753,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.69,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8451050,2602:113.2046800,3012:228,3013:42,3014:20250503133746,3015:15,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350096729780224$NJ4GBQSAX0000687$REALTIME$TIME:20250503133753,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.69,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.2,2603:28.8450850,2602:113.2046580,3012:226,3013:42,3014:20250503133747,3015:15,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350096733974528$NJ4GBQSAX0000687$REALTIME$TIME:20250503133753,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.69,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.4,2603:28.8450640,2602:113.2046360,3012:224,3013:42,3014:20250503133748,3015:16,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350096738168832$NJ4GBQSAX0000687$REALTIME$TIME:20250503133753,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.69,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.3,2603:28.8450200,2602:113.2045960,3012:220,3013:41,3014:20250503133750,3015:16,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350139318743040$NJ4GBQSAX0000687$REALTIME$TIME:20250503133803,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.86,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8449970,2602:113.2045760,3012:218,3013:40,3014:20250503133751,3015:16,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350139322937344$NJ4GBQSAX0000687$REALTIME$TIME:20250503133803,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.86,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8449750,2602:113.2045550,3012:219,3013:40,3014:20250503133752,3015:15,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350139327131648$NJ4GBQSAX0000687$REALTIME$TIME:20250503133803,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.86,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11,2603:28.8449530,2602:113.2045370,3012:216,3013:39,3014:20250503133753,3015:16,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350139331325952$NJ4GBQSAX0000687$REALTIME$TIME:20250503133803,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.86,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.9,2603:28.8449300,2602:113.2045140,3012:222,3013:39,3014:20250503133754,3015:16,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350139335520256$NJ4GBQSAX0000687$REALTIME$TIME:20250503133803,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.86,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8449080,2602:113.2044910,3012:223,3013:39,3014:20250503133755,3015:16,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350139339714560$NJ4GBQSAX0000687$REALTIME$TIME:20250503133803,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.86,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8448870,2602:113.2044680,3012:223,3013:39,3014:20250503133756,3015:16,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350139343908864$NJ4GBQSAX0000687$REALTIME$TIME:20250503133803,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.86,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8448660,2602:113.2044450,3012:224,3013:38,3014:20250503133757,3015:17,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350139348103168$NJ4GBQSAX0000687$REALTIME$TIME:20250503133803,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.86,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8448450,2602:113.2044230,3012:223,3013:38,3014:20250503133758,3015:17,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350139352297472$NJ4GBQSAX0000687$REALTIME$TIME:20250503133803,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.86,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8448230,2602:113.2044000,3012:222,3013:38,3014:20250503133759,3015:17,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350139356491776$NJ4GBQSAX0000687$REALTIME$TIME:20250503133803,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.86,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.4,2603:28.8448020,2602:113.2043770,3012:223,3013:38,3014:20250503133800,3015:17,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350183170211840$NJ4GBQSAX0000687$REALTIME$TIME:20250503133813,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.00,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8447820,2602:113.2043550,3012:223,3013:37,3014:20250503133801,3015:18,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350183174406144$NJ4GBQSAX0000687$REALTIME$TIME:20250503133813,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.00,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8447610,2602:113.2043330,3012:223,3013:37,3014:20250503133802,3015:18,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350183178600448$NJ4GBQSAX0000687$REALTIME$TIME:20250503133813,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.00,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8447390,2602:113.2043110,3012:222,3013:37,3014:20250503133803,3015:18,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350183182794752$NJ4GBQSAX0000687$REALTIME$TIME:20250503133813,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.00,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.1,2603:28.8447180,2602:113.2042910,3012:220,3013:36,3014:20250503133804,3015:19,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350183186989056$NJ4GBQSAX0000687$REALTIME$TIME:20250503133813,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.00,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8446950,2602:113.2042710,3012:218,3013:36,3014:20250503133805,3015:19,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350183191183360$NJ4GBQSAX0000687$REALTIME$TIME:20250503133813,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.00,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.3,2603:28.8446730,2602:113.2042510,3012:218,3013:36,3014:20250503133806,3015:19,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350183195377664$NJ4GBQSAX0000687$REALTIME$TIME:20250503133813,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.00,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.3,2603:28.8446500,2602:113.2042310,3012:217,3013:36,3014:20250503133807,3015:19,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350183203766272$NJ4GBQSAX0000687$REALTIME$TIME:20250503133813,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.00,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.3,2603:28.8446270,2602:113.2042120,3012:216,3013:35,3014:20250503133808,3015:19,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350183207960576$NJ4GBQSAX0000687$REALTIME$TIME:20250503133813,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.00,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8445800,2602:113.2041750,3012:215,3013:35,3014:20250503133810,3015:19,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350225696247808$NJ4GBQSAX0000687$REALTIME$TIME:20250503133823,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.14,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8445560,2602:113.2041560,3012:215,3013:35,3014:20250503133811,3015:19,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350225700442112$NJ4GBQSAX0000687$REALTIME$TIME:20250503133823,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.14,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.4,2603:28.8445330,2602:113.2041370,3012:214,3013:35,3014:20250503133812,3015:19,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350225708830720$NJ4GBQSAX0000687$REALTIME$TIME:20250503133823,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.14,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:8.6,2603:28.8445150,2602:113.2041240,3012:213,3013:35,3014:20250503133813,3015:19,3016:13,4014:0,2601:0,3019:0
SUBMIT$7318350225713025024$NJ4GBQSAX0000687$REALTIME$TIME:20250503133823,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.14,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:5.1,2603:28.8445040,2602:113.2041150,3012:214,3013:35,3014:20250503133814,3015:19,3016:13,4014:0,2601:0,3019:0
SUBMIT$7318350225717219328$NJ4GBQSAX0000687$REALTIME$TIME:20250503133823,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.14,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:5.1,2603:28.8444930,2602:113.2041080,3012:213,3013:34,3014:20250503133815,3015:19,3016:13,4014:0,2601:0,3019:0
SUBMIT$7318350225721413632$NJ4GBQSAX0000687$REALTIME$TIME:20250503133823,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.14,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:5.6,2603:28.8444810,2602:113.2040990,3012:214,3013:34,3014:20250503133816,3015:19,3016:13,4014:0,2601:0,3019:0
SUBMIT$7318350225725607936$NJ4GBQSAX0000687$REALTIME$TIME:20250503133823,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.14,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:10.2,2603:28.8444590,2602:113.2040840,3012:210,3013:34,3014:20250503133817,3015:19,3016:13,4014:0,2601:0,3019:0
SUBMIT$7318350225729802240$NJ4GBQSAX0000687$REALTIME$TIME:20250503133823,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.14,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.8,2603:28.8444100,2602:113.2040470,3012:213,3013:34,3014:20250503133819,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318350225733996544$NJ4GBQSAX0000687$REALTIME$TIME:20250503133823,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.14,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:12,2603:28.8443850,2602:113.2040270,3012:216,3013:34,3014:20250503133820,3015:19,3016:13,4014:0,2601:0,3019:0
SUBMIT$7318350291551010816$NJ4GBQSAX0000687$REALTIME$TIME:20250503133839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.30,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8443620,2602:113.2040060,3012:219,3013:33,3014:20250503133821,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318350291555205120$NJ4GBQSAX0000687$REALTIME$TIME:20250503133839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.30,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:12.1,2603:28.8443400,2602:113.2039820,3012:222,3013:33,3014:20250503133822,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318350291559399424$NJ4GBQSAX0000687$REALTIME$TIME:20250503133839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.30,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8443190,2602:113.2039590,3012:223,3013:33,3014:20250503133823,3015:19,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350291567788032$NJ4GBQSAX0000687$REALTIME$TIME:20250503133839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.30,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8442980,2602:113.2039360,3012:224,3013:33,3014:20250503133824,3015:19,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350291571982336$NJ4GBQSAX0000687$REALTIME$TIME:20250503133839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.30,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8442580,2602:113.2038880,3012:226,3013:33,3014:20250503133826,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350291576176640$NJ4GBQSAX0000687$REALTIME$TIME:20250503133839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.30,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.9,2603:28.8442390,2602:113.2038610,3012:230,3013:33,3014:20250503133827,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350291580370944$NJ4GBQSAX0000687$REALTIME$TIME:20250503133839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.30,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8442190,2602:113.2038370,3012:228,3013:33,3014:20250503133828,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350291584565248$NJ4GBQSAX0000687$REALTIME$TIME:20250503133839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.30,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8441990,2602:113.2038120,3012:226,3013:33,3014:20250503133829,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350291588759552$NJ4GBQSAX0000687$REALTIME$TIME:20250503133839,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.30,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8441800,2602:113.2037870,3012:228,3013:33,3014:20250503133830,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350313193644032$NJ4GBQSAX0000687$REALTIME$TIME:20250503133844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.46,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8441600,2602:113.2037630,3012:227,3013:32,3014:20250503133831,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350268226502656$NJ4GBQSAX0000687$REALTIME$TIME:20250503133833,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.34,4033:1876,2204:11.5,2603:28.8441390,2602:113.2037400,3012:223,3013:32,3014:20250503133832,3015:20,3016:10,4014:0,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7318350313197838336$NJ4GBQSAX0000687$REALTIME$TIME:20250503133844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.46,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8441170,2602:113.2037180,3012:222,3013:32,3014:20250503133833,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350313202032640$NJ4GBQSAX0000687$REALTIME$TIME:20250503133844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.46,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8440950,2602:113.2036970,3012:220,3013:32,3014:20250503133834,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350313206226944$NJ4GBQSAX0000687$REALTIME$TIME:20250503133844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.46,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8440720,2602:113.2036760,3012:218,3013:32,3014:20250503133835,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350313210421248$NJ4GBQSAX0000687$REALTIME$TIME:20250503133844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.46,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8440490,2602:113.2036550,3012:219,3013:32,3014:20250503133836,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350313214615552$NJ4GBQSAX0000687$REALTIME$TIME:20250503133844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.46,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8440270,2602:113.2036340,3012:219,3013:32,3014:20250503133837,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350313218809856$NJ4GBQSAX0000687$REALTIME$TIME:20250503133844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.46,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.8,2603:28.8440040,2602:113.2036130,3012:218,3013:32,3014:20250503133838,3015:20,3016:10,4014:0,2601:0,3019:0
SUBMIT$7318350313223004160$NJ4GBQSAX0000687$REALTIME$TIME:20250503133844,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.46,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8439800,2602:113.2035940,3012:216,3013:32,3014:20250503133839,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350355807752192$NJ4GBQSAX0000687$REALTIME$TIME:20250503133854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.62,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8439560,2602:113.2035750,3012:214,3013:32,3014:20250503133840,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350355811946496$NJ4GBQSAX0000687$REALTIME$TIME:20250503133854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.62,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.8,2603:28.8439310,2602:113.2035570,3012:213,3013:32,3014:20250503133841,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350355816140800$NJ4GBQSAX0000687$REALTIME$TIME:20250503133854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.62,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8439070,2602:113.2035390,3012:213,3013:32,3014:20250503133842,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350355820335104$NJ4GBQSAX0000687$REALTIME$TIME:20250503133854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.62,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8438820,2602:113.2035210,3012:211,3013:32,3014:20250503133843,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350355824529408$NJ4GBQSAX0000687$REALTIME$TIME:20250503133854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.62,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8438320,2602:113.2034870,3012:210,3013:32,3014:20250503133845,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350355832918016$NJ4GBQSAX0000687$REALTIME$TIME:20250503133854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.62,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.4,2603:28.8438060,2602:113.2034730,3012:206,3013:31,3014:20250503133846,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350355837112320$NJ4GBQSAX0000687$REALTIME$TIME:20250503133854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.62,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8437530,2602:113.2034440,3012:205,3013:31,3014:20250503133848,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350355845500928$NJ4GBQSAX0000687$REALTIME$TIME:20250503133854,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.62,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8437270,2602:113.2034290,3012:206,3013:31,3014:20250503133849,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350399680172032$NJ4GBQSAX0000687$REALTIME$TIME:20250503133905,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.76,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8436740,2602:113.2034010,3012:204,3013:31,3014:20250503133851,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350399684366336$NJ4GBQSAX0000687$REALTIME$TIME:20250503133905,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.76,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8436480,2602:113.2033880,3012:204,3013:31,3014:20250503133852,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350399692754944$NJ4GBQSAX0000687$REALTIME$TIME:20250503133905,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.76,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8436210,2602:113.2033750,3012:203,3013:31,3014:20250503133853,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350399696949248$NJ4GBQSAX0000687$REALTIME$TIME:20250503133905,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.76,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8435680,2602:113.2033480,3012:204,3013:31,3014:20250503133855,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350399705337856$NJ4GBQSAX0000687$REALTIME$TIME:20250503133905,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.76,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8435410,2602:113.2033350,3012:202,3013:31,3014:20250503133856,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350399709532160$NJ4GBQSAX0000687$REALTIME$TIME:20250503133905,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.76,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8435140,2602:113.2033220,3012:203,3013:31,3014:20250503133857,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7318350399713726464$NJ4GBQSAX0000687$REALTIME$TIME:20250503133905,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:217.76,4033:1876,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8434880,2602:113.2033090,3012:202,3013:31,3014:20250503133858,3015:20,3016:11,4014:0,2601:0,3019:0
