SUBMIT$7385323754907656192$EC73BD2506050018$REALTIME$TIME:20251104090717,gw:farm,3004:55,4042:1,4030:1,4031:0,4032:0.20,4033:6,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,2603:22.54082890,2602:107.79342390,2204:0,3012:80,3013:96,3014:20251104090717,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:1,4404:5,4040:0,4041:0,4043:0,4044:1
SUBMIT$7385323835052404736$EC73BD2506050018$REALTIME$TIME:20251104090736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082890,2602:107.79342385,3012:181,3013:96,3014:20251104090728,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323835056599040$EC73BD2506050018$REALTIME$TIME:20251104090736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082890,2602:107.79342381,3012:33,3013:96,3014:20251104090729,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323835060793344$EC73BD2506050018$REALTIME$TIME:20251104090736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082890,2602:107.79342383,3012:30,3013:96,3014:20251104090730,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323835064987648$EC73BD2506050018$REALTIME$TIME:20251104090736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082888,2602:107.79342383,3012:109,3013:96,3014:20251104090731,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323835069181952$EC73BD2506050018$REALTIME$TIME:20251104090736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082891,2602:107.79342381,3012:353,3013:96,3014:20251104090732,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323835073376256$EC73BD2506050018$REALTIME$TIME:20251104090736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082891,2602:107.79342381,3012:319,3013:96,3014:20251104090733,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323835077570560$EC73BD2506050018$REALTIME$TIME:20251104090736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082891,2602:107.79342381,3012:32,3013:96,3014:20251104090734,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323835081764864$EC73BD2506050018$REALTIME$TIME:20251104090736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082890,2602:107.79342381,3012:75,3013:96,3014:20251104090735,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323835085959168$EC73BD2506050018$REALTIME$TIME:20251104090736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082891,2602:107.79342380,3012:272,3013:96,3014:20251104090736,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323877075140608$EC73BD2506050018$REALTIME$TIME:20251104090746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342380,3012:70,3013:96,3014:20251104090737,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323877079334912$EC73BD2506050018$REALTIME$TIME:20251104090746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082891,2602:107.79342380,3012:71,3013:96,3014:20251104090738,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323877083529216$EC73BD2506050018$REALTIME$TIME:20251104090746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342380,3012:324,3013:96,3014:20251104090739,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323877087723520$EC73BD2506050018$REALTIME$TIME:20251104090746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342380,3012:313,3013:96,3014:20251104090740,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323877091917824$EC73BD2506050018$REALTIME$TIME:20251104090746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342381,3012:19,3013:96,3014:20251104090741,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323877096112128$EC73BD2506050018$REALTIME$TIME:20251104090746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082891,2602:107.79342380,3012:113,3013:96,3014:20251104090742,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323877100306432$EC73BD2506050018$REALTIME$TIME:20251104090746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342380,3012:20,3013:96,3014:20251104090743,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323877104500736$EC73BD2506050018$REALTIME$TIME:20251104090746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082891,2602:107.79342380,3012:140,3013:96,3014:20251104090744,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323877108695040$EC73BD2506050018$REALTIME$TIME:20251104090746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342378,3012:307,3013:96,3014:20251104090745,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323877112889344$EC73BD2506050018$REALTIME$TIME:20251104090746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342378,3012:45,3013:96,3014:20251104090746,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323919521521664$EC73BD2506050018$REALTIME$TIME:20251104090756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082891,2602:107.79342380,3012:71,3013:96,3014:20251104090747,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323919525715968$EC73BD2506050018$REALTIME$TIME:20251104090756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342378,3012:310,3013:96,3014:20251104090748,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323919529910272$EC73BD2506050018$REALTIME$TIME:20251104090756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082891,2602:107.79342380,3012:44,3013:96,3014:20251104090749,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323919534104576$EC73BD2506050018$REALTIME$TIME:20251104090756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082891,2602:107.79342380,3012:140,3013:96,3014:20251104090750,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323919538298880$EC73BD2506050018$REALTIME$TIME:20251104090756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342376,3012:352,3013:96,3014:20251104090751,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323919542493184$EC73BD2506050018$REALTIME$TIME:20251104090756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342378,3012:66,3013:96,3014:20251104090752,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323919546687488$EC73BD2506050018$REALTIME$TIME:20251104090756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082891,2602:107.79342380,3012:99,3013:96,3014:20251104090753,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323919550881792$EC73BD2506050018$REALTIME$TIME:20251104090756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082890,2602:107.79342378,3012:60,3013:96,3014:20251104090754,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323919555076096$EC73BD2506050018$REALTIME$TIME:20251104090756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082890,2602:107.79342380,3012:358,3013:96,3014:20251104090755,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323919559270400$EC73BD2506050018$REALTIME$TIME:20251104090756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342376,3012:340,3013:96,3014:20251104090756,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323961883975680$EC73BD2506050018$REALTIME$TIME:20251104090806,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342378,3012:352,3013:96,3014:20251104090757,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323961888169984$EC73BD2506050018$REALTIME$TIME:20251104090806,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342371,3012:26,3013:96,3014:20251104090758,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323961892364288$EC73BD2506050018$REALTIME$TIME:20251104090806,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342370,3012:30,3013:96,3014:20251104090759,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323961896558592$EC73BD2506050018$REALTIME$TIME:20251104090806,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082891,2602:107.79342373,3012:36,3013:96,3014:20251104090800,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323961900752896$EC73BD2506050018$REALTIME$TIME:20251104090806,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082893,2602:107.79342371,3012:1,3013:96,3014:20251104090801,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323961904947200$EC73BD2506050018$REALTIME$TIME:20251104090806,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082895,2602:107.79342370,3012:51,3013:96,3014:20251104090802,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323961909141504$EC73BD2506050018$REALTIME$TIME:20251104090806,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082895,2602:107.79342371,3012:4,3013:96,3014:20251104090803,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323961913335808$EC73BD2506050018$REALTIME$TIME:20251104090806,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082891,2602:107.79342360,3012:267,3013:96,3014:20251104090804,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323961917530112$EC73BD2506050018$REALTIME$TIME:20251104090806,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082895,2602:107.79342356,3012:273,3013:96,3014:20251104090805,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323961921724416$EC73BD2506050018$REALTIME$TIME:20251104090806,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:1.9,2603:22.54082895,2602:107.79341820,3012:269,3013:96,3014:20251104090806,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324003944452096$EC73BD2506050018$REALTIME$TIME:20251104090816,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.01,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:1.9,2603:22.54082896,2602:107.79341276,3012:269,3013:96,3014:20251104090807,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324003948646400$EC73BD2506050018$REALTIME$TIME:20251104090816,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.01,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2,2603:22.54082896,2602:107.79340720,3012:270,3013:96,3014:20251104090808,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324003952840704$EC73BD2506050018$REALTIME$TIME:20251104090816,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.01,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:1.9,2603:22.54082898,2602:107.79340166,3012:269,3013:96,3014:20251104090809,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324003957035008$EC73BD2506050018$REALTIME$TIME:20251104090816,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.01,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2,2603:22.54082893,2602:107.79339613,3012:268,3013:96,3014:20251104090810,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324003961229312$EC73BD2506050018$REALTIME$TIME:20251104090816,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.01,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2,2603:22.54082890,2602:107.79339058,3012:269,3013:96,3014:20251104090811,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324003965423616$EC73BD2506050018$REALTIME$TIME:20251104090816,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.01,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:1.9,2603:22.54082898,2602:107.79338506,3012:271,3013:96,3014:20251104090812,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324003969617920$EC73BD2506050018$REALTIME$TIME:20251104090816,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.01,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2,2603:22.54082896,2602:107.79337946,3012:269,3013:96,3014:20251104090813,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324003973812224$EC73BD2506050018$REALTIME$TIME:20251104090816,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.01,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2,2603:22.54082908,2602:107.79337391,3012:271,3013:96,3014:20251104090814,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324003978006528$EC73BD2506050018$REALTIME$TIME:20251104090816,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.01,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2,2603:22.54082910,2602:107.79336838,3012:270,3013:96,3014:20251104090815,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
